Designator, Mid Y, Mid X, Rotation, Layer
C1,-115.827000,187.495180,270.0,top
C2,-115.824000,189.857380,270.0,top
C3,-115.824000,199.306180,270.0,top
C4,-122.872500,176.784000,90.0,top
C5,-134.086600,182.676800,0.0,top
C6,-125.272800,187.579000,90.0,top
C7,-107.873800,194.818000,0.0,top
C8,-111.099600,197.015100,0.0,top
C9,-137.007600,181.660800,270.0,top
C10,-115.824000,206.164180,270.0,top
C11,-115.824000,203.878180,270.0,top
C12,-115.824000,192.194180,270.0,top
C13,-107.543600,202.816400,0.0,top
C14,-111.582200,205.282800,0.0,top
C15,-115.824000,196.893180,270.0,top
C16,-115.824000,194.480180,270.0,top
C17,-115.824000,201.592180,270.0,top
C18,-107.391200,187.553600,0.0,top
C19,-111.391700,190.500000,0.0,top
C20,-124.917200,218.061400,0.0,top
C21,-111.252000,179.070000,0.0,top
C22,-105.740200,196.367400,180.0,top
C23,-113.578640,215.386920,0.0,top
C24,-117.261640,216.021920,270.0,top
C25,-122.428000,208.153000,90.0,top
C26,-123.444000,202.692000,270.0,top
C27,-107.828080,213.192360,0.0,top
C28,-127.990600,191.236600,270.0,top
C29,-122.986800,220.522800,90.0,top
C30,-109.486700,181.368700,270.0,top
C31,-114.353200,176.403000,270.0,top
C32,-137.261600,187.170200,0.0,top
C33,-108.000800,205.724900,180.0,top
C34,-107.304700,190.233300,270.0,top
C35,-122.123200,179.374800,180.0,top
C36,-132.257800,177.038000,0.0,top
C37,-131.851400,201.320400,0.0,top
C38,-134.825000,176.300000,90.0,top
C39,-138.275000,179.150000,0.0,top
D1,-116.586000,214.274400,270.0,top
D2,-134.975600,190.906400,180.0,top
D3,-136.448800,190.906400,180.0,top
D7,-129.621280,212.232240,0.0,top
L1,-120.167400,212.217000,0.0,top
NTC1,-108.292900,183.121400,0.0,top
Q7,-121.297700,186.410600,90.0,top
R1,-116.713000,178.244500,180.0,top
R2,-140.309600,182.880000,180.0,top
R3,-138.811000,182.880000,180.0,top
R4,-119.367300,181.114700,180.0,top
R5,-119.786400,217.525600,90.0,top
R6,-111.125000,185.216800,270.0,top
R7,-110.619540,212.641789,90.0,top
R8,-117.287040,217.596720,270.0,top
R9,-115.051840,216.834720,0.0,top
R10,-135.280400,182.041800,180.0,top
R11,-130.098800,175.895000,270.0,top
R12,-131.305300,205.232000,0.0,top
R13,-132.384800,205.232000,180.0,top
R14,-104.571800,199.539400,0.0,top
R15,-105.308400,184.353200,90.0,top
R16,-139.509500,200.291700,270.0,top
R17,-134.924800,186.893200,270.0,top
R18,-134.924800,188.353700,270.0,top
R19,-137.033000,183.565800,270.0,top
R20,-137.033000,182.600600,90.0,top
R21,-139.509500,201.282300,270.0,top
R22,-111.010200,186.486800,90.0,top
R23,-112.471200,177.139600,270.0,top
R24,-138.226800,187.147200,180.0,top
R25,-106.807000,197.563600,0.0,top
R26,-106.540300,206.121000,90.0,top
R27,-106.438700,189.191900,90.0,top
R28,-106.451400,187.581000,180.0,top
R29,-106.908600,194.792600,180.0,top
R30,-106.603800,202.819000,180.0,top
R31,-111.099600,194.894200,90.0,top
R32,-111.302800,203.174600,90.0,top
R33,-121.640600,184.137300,270.0,top
R34,-122.148600,188.785500,90.0,top
R35,-111.379000,188.633100,180.0,top
R36,-111.137700,198.932800,0.0,top
R37,-111.125000,201.396600,180.0,top
SB1,-134.797800,184.607200,180.0,top
U1,-109.374940,197.507860,0.0,top
U2,-127.990600,181.800500,0.0,top
U4,-109.791500,205.955900,0.0,top
U5,-109.575600,189.331600,0.0,top
U6,-111.064040,215.372289,0.0,top
U7,-122.580400,205.460600,180.0,top
U8,-122.834400,218.287600,90.0,top
U9,-107.899200,179.349400,90.0,top
U11,-133.731000,196.545200,270.0,top
Y1,-135.525000,178.625000,270.0,top
